시도명,구시군명,선거명,기초의원들
경기,안양시동안구,구시군의원,새누리당 이성우 / 새누리당 심재민 / 새정치민주연합 문수곤 / 새누리당 박정옥 / 새정치민주연합 심규순 / 새누리당 음경택 / 새누리당 이승경 / 새정치민주연합 이문수 / 새누리당 김필여 / 새누리당 김대영 / 새정치민주연합 송현주 / 
경기,안양시동안구,구시군장,새누리당 이필운 / 
경기,안양시동안구,기초의원비례대표,새누리당 이보영 / 새정치민주연합 정맹숙 / 새정치민주연합 임영란 / 
경기,안양시만안구,구시군의원,새누리당 원용의 / 새정치민주연합 홍춘희 / 새누리당 천진철 / 새정치민주연합 김성수 / 새누리당 임상곤 / 새정치민주연합 권재학 / 새누리당 서정열 / 새정치민주연합 김선화 / 
경기,양주시,구시군의원,새누리당 박길서 / 새정치민주연합 황영희 / 새정치민주연합 홍성표 / 새누리당 김종길 / 새정치민주연합 정덕영 / 새누리당 안종섭 / 새정치민주연합 이희창 / 
경기,양주시,구시군장,새누리당 현삼식 / 
경기,양주시,기초의원비례대표,새누리당 박경수 / 
경기,양평군,구시군의원,새누리당 박명숙 / 새누리당 송만기 / 새정치민주연합 박현일 / 새누리당 이종식 / 새누리당 이종화 / 새정치민주연합 송요찬 / 
경기,양평군,구시군장,새누리당 김선교 / 
경기,양평군,기초의원비례대표,새누리당 박화자 / 
경기,여주시,구시군의원,새누리당 김영자 / 새누리당 이환설 / 새정치민주연합 이항진 / 새누리당 이상춘 / 새누리당 윤희정 / 새정치민주연합 박재영 / 
경기,여주시,구시군장,새누리당 원경희 / 
경기,여주시,기초의원비례대표,새누리당 이영옥 / 
경기,연천군,구시군의원,새누리당 심상금 / 새누리당 이종만 / 새정치민주연합 조봉안 / 새정치민주연합 왕규식 / 새누리당 서성추 / 새누리당 정찬우 / 
경기,연천군,구시군장,새누리당 김규선 / 
경기,연천군,기초의원비례대표,새누리당 장애정 / 
경기,오산시,구시군의원,새누리당 이상수 / 새정치민주연합 문영근 / 새정치민주연합 손정환 / 새누리당 김지혜 / 새누리당 김명철 / 새정치민주연합 장인수 / 
경기,오산시,구시군장,새정치민주연합 곽상욱 / 
경기,오산시,기초의원비례대표,새정치민주연합 김영희 / 
경기,용인시기흥구,구시군의원,새누리당 홍종락 / 새정치민주연합 고찬석 / 새누리당 유향금 / 새정치민주연합 김대정 / 새누리당 박만섭 / 새정치민주연합 유진선 / 새정치민주연합 박남숙 / 새누리당 김운봉 / 새정치민주연합 김기준 / 
경기,용인시수지구,구시군의원,새누리당 김선희 / 새정치민주연합 김중식 / 새누리당 이정혜 / 새정치민주연합 소치영 / 새누리당 신민석 / 새정치민주연합 이건한 / 새누리당 강웅철 / 새정치민주연합 윤원균 / 
경기,용인시처인구,구시군의원,새누리당 이건영 / 새정치민주연합 정창진 / 새정치민주연합 이제남 / 새누리당 신현수 / 새정치민주연합 남홍숙 / 새누리당 박원동 / 새정치민주연합 최원식 / 
경기,용인시처인구,구시군장,새누리당 정찬민 / 
경기,용인시처인구,기초의원비례대표,새누리당 김상수 / 새누리당 김희영 / 새정치민주연합 이은경 / 
경기,의왕시,구시군의원,새누리당 조규홍 / 새정치민주연합 정길주 / 새정치민주연합 서창수 / 새누리당 전영남 / 새정치민주연합 기길운 / 새정치민주연합 전경숙 / 
경기,의왕시,구시군장,새정치민주연합 김성제 / 
경기,의왕시,기초의원비례대표,새정치민주연합 윤미근 / 
경기,의정부시,구시군의원,새누리당 조금석 / 새정치민주연합 장수봉 / 새정치민주연합 최경자 / 새누리당 김일봉 / 새누리당 구구회 / 새정치민주연합 김이원 / 새누리당 임호석 / 새정치민주연합 정선희 / 새정치민주연합 권재형 / 새누리당 박종철 / 새정치민주연합 안지찬 / 
경기,의정부시,구시군장,새정치민주연합 안병용 / 
경기,의정부시,기초의원비례대표,새누리당 김현주 / 새정치민주연합 안춘선 / 
경기,이천시,구시군의원,새누리당 한영순 / 새누리당 김문자 / 새정치민주연합 전춘봉 / 새누리당 김학원 / 새정치민주연합 홍헌표 / 새누리당 김하식 / 새누리당 김용재 / 새정치민주연합 정종철 / 
경기,이천시,구시군장,새정치민주연합 조병돈 / 
경기,이천시,기초의원비례대표,새정치민주연합 서광자 / 
경기,파주시,구시군의원,새누리당 손배옥 / 새정치민주연합 손배찬 / 통합진보당 안소희 / 새누리당 나성민 / 새누리당 김병수 / 새정치민주연합 손희정 / 새누리당 안명규 / 새누리당 이평자 / 새정치민주연합 이근삼 / 새누리당 윤응철 / 새누리당 박재진 / 새정치민주연합 박찬일 / 
경기,파주시,구시군장,새누리당 이재홍 / 
경기,파주시,기초의원비례대표,새누리당 박희준 / 새정치민주연합 최영실 / 
경기,평택시,구시군의원,새누리당 김윤태 / 새정치민주연합 양경석 / 새누리당 이희태 / 새정치민주연합 김재균 / 새누리당 한숙자 / 새정치민주연합 박환우 / 새누리당 정영아 / 새정치민주연합 오명근 / 새누리당 최중안 / 새정치민주연합 김기성 / 새누리당 김인식 / 새누리당 유영삼 / 새정치민주연합 김수우 / 새정치민주연합 권영화 / 
경기,평택시,구시군장,새누리당 공재광 / 
경기,평택시,기초의원비례대표,새누리당 김혜영 / 새정치민주연합 서현옥 / 
경기,포천시,구시군의원,새누리당 서과석 / 새정치민주연합 이형직 / 새누리당 윤충식 / 새정치민주연합 류재빈 / 새누리당 이희승 / 새누리당 정종근 / 새정치민주연합 이원석 / 
경기,포천시,구시군장,새누리당 서장원 / 
경기,포천시,기초의원비례대표,새누리당 이명희 / 
경기,하남시,구시군의원,새누리당 문외숙 / 새누리당 윤재군 / 새정치민주연합 오수봉 / 새누리당 김종복 / 새누리당 김승용 / 새정치민주연합 방미숙 / 
경기,하남시,구시군장,새정치민주연합 이교범 / 
경기,하남시,기초의원비례대표,새누리당 박진희 / 
